debugOCOHJ1:debugLIV0J8,42,1604952664089,"{""phase"": ""checkquestion"", ""status"": ""begin""}"
debugOCOHJ1:debugLIV0J8,43,1604952668873,"{""phase"": ""checkquestion"", ""status"": ""submit""}"
debug4PA0B8:debugH20M5S,0,1604954706650,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debug4PA0B8:debugH20M5S,1,1604954708182,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1529, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debug4PA0B8:debugH20M5S,2,1604954708188,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug4PA0B8:debugH20M5S,3,1604954723729,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug4PA0B8:debugH20M5S,4,1604954723747,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debug4PA0B8:debugH20M5S,5,1604954724618,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debug4PA0B8:debugH20M5S,6,1604954735392,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debug4PA0B8:debugH20M5S,7,1604954735871,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debugMCVTUR:debugQ10MS7,0,1604955120408,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugMCVTUR:debugQ10MS7,1,1604955121451,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1040, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugMCVTUR:debugQ10MS7,2,1604955121458,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugMCVTUR:debugQ10MS7,3,1604955125237,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugMCVTUR:debugQ10MS7,4,1604955125254,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debugMCVTUR:debugQ10MS7,5,1604955127241,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debugMCVTUR:debugQ10MS7,6,1604955138018,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debugMCVTUR:debugQ10MS7,7,1604955146146,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debugSPF9AW:debugJC30IE,0,1604974825450,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugSPF9AW:debugJC30IE,1,1604974826373,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 920, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugSPF9AW:debugJC30IE,2,1604974826378,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugSPF9AW:debugJC30IE,3,1604974830625,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugSPF9AW:debugJC30IE,4,1604974830652,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debugSPF9AW:debugJC30IE,5,1604974832045,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debugSPF9AW:debugJC30IE,6,1604974842836,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debugSPF9AW:debugJC30IE,7,1604974843301,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debugRNENV5:debug8SY7ZZ,0,1604974886695,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugRNENV5:debug8SY7ZZ,1,1604974888102,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1404, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugRNENV5:debug8SY7ZZ,2,1604974888110,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugRNENV5:debug8SY7ZZ,3,1604974891689,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugRNENV5:debug8SY7ZZ,4,1604974891711,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debugRNENV5:debug8SY7ZZ,5,1604974894443,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debugRNENV5:debug8SY7ZZ,6,1604974905255,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debugRNENV5:debug8SY7ZZ,7,1604974905600,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debug67CDN9:debugMRZH7M,0,1604974950548,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debug67CDN9:debugMRZH7M,1,1604974951407,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 856, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debug67CDN9:debugMRZH7M,2,1604974951413,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug67CDN9:debugMRZH7M,3,1604974954657,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug67CDN9:debugMRZH7M,4,1604974954680,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debug67CDN9:debugMRZH7M,5,1604974956099,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debug67CDN9:debugMRZH7M,6,1604974966889,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debug67CDN9:debugMRZH7M,7,1604974967262,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debug5U0FQ1:debugD0TDX2,0,1604975478173,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debug5U0FQ1:debugD0TDX2,1,1604975478992,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 816, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debug5U0FQ1:debugD0TDX2,2,1604975478997,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug5U0FQ1:debugD0TDX2,3,1604975482055,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug5U0FQ1:debugD0TDX2,4,1604975482082,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debug5U0FQ1:debugD0TDX2,5,1604975483573,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debug5U0FQ1:debugD0TDX2,6,1604975494356,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debug5U0FQ1:debugD0TDX2,7,1604975494931,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debugO2QXRL:debugZM694U,0,1604975685134,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugO2QXRL:debugZM694U,1,1604975685981,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 845, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugO2QXRL:debugZM694U,2,1604975685986,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugO2QXRL:debugZM694U,3,1604975690010,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugO2QXRL:debugZM694U,4,1604975690031,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debugO2QXRL:debugZM694U,5,1604975691231,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debugO2QXRL:debugZM694U,6,1604975702016,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debugO2QXRL:debugZM694U,7,1604975702377,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debug1XA59Y:debugFJUZS1,0,1604976072592,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debug1XA59Y:debugFJUZS1,1,1604976073558,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 964, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debug1XA59Y:debugFJUZS1,2,1604976073568,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug1XA59Y:debugFJUZS1,3,1604976077153,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
